SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
92,01/24/2020,Shanghai,Mainland China,2020/01/24 17:00,20,0,1
93,01/24/2020,Jiangxi,Mainland China,2020/01/24 17:00,18,0,0
94,01/24/2020,Sichuan,Mainland China,2020/01/24 17:00,15,0,0
95,01/24/2020,Shandong,Mainland China,2020/01/24 17:00,15,0,0
96,01/24/2020,Anhui,Mainland China,2020/01/24 17:00,15,0,0
97,01/24/2020,Fujian,Mainland China,2020/01/24 17:00,10,0,0
98,01/24/2020,Henan,Mainland China,2020/01/24 17:00,9,0,0
99,01/24/2020,Jiangsu,Mainland China,2020/01/24 17:00,9,0,0
100,01/24/2020,Hainan,Mainland China,2020/01/24 17:00,8,0,0
101,01/24/2020,Tianjin,Mainland China,2020/01/24 17:00,8,0,0
102,01/24/2020,Yunnan,Mainland China,2020/01/24 17:00,5,0,0
103,01/24/2020,Shaanxi,Mainland China,2020/01/24 17:00,5,0,0
104,01/24/2020,Heilongjiang,Mainland China,2020/01/24 17:00,4,1,0
105,01/24/2020,Liaoning,Mainland China,2020/01/24 17:00,4,0,0
106,01/24/2020,Guizhou,Mainland China,2020/01/24 17:00,3,0,0
107,01/24/2020,Jilin,Mainland China,2020/01/24 17:00,3,0,0
108,01/24/2020,Taiwan,Taiwan,2020/01/24 17:00,3,0,0
109,01/24/2020,Ningxia,Mainland China,2020/01/24 17:00,2,0,0
110,01/24/2020,Hong Kong,Hong Kong,2020/01/24 17:00,2,0,0
111,01/24/2020,Macau,Macau,2020/01/24 17:00,2,0,0
112,01/24/2020,Hebei,Mainland China,2020/01/24 17:00,2,1,0
113,01/24/2020,Gansu,Mainland China,2020/01/24 17:00,2,0,0
114,01/24/2020,Xinjiang,Mainland China,2020/01/24 17:00,2,0,0
115,01/24/2020,Shanxi,Mainland China,2020/01/24 17:00,1,0,0
116,01/24/2020,Inner Mongolia,Mainland China,2020/01/24 17:00,1,0,0
117,01/24/2020,Qinghai,Mainland China,2020/01/24 17:00,0,0,0
118,01/24/2020,Washington,US,2020/01/24 17:00,1,0,0
119,01/24/2020,Chicago,US,2020/01/24 17:00,1,0,0
120,01/24/2020,,Japan,2020/01/24 17:00,2,0,0
121,01/24/2020,,Thailand,2020/01/24 17:00,5,0,0
122,01/24/2020,,South Korea,2020/01/24 17:00,2,0,0
123,01/24/2020,,Singapore,2020/01/24 17:00,3,0,0
124,01/24/2020,,Vietnam,2020/01/24 17:00,2,0,0
125,01/24/2020,,France,2020/01/24 17:00,2,0,0
126,01/25/2020,Hubei,Mainland China,2020/01/25 17:00,761,40,32
127,01/25/2020,Guangdong,Mainland China,2020/01/25 17:00,78,0,2
128,01/25/2020,Zhejiang,Mainland China,2020/01/25 17:00,62,0,1
129,01/25/2020,Chongqing,Mainland China,2020/01/25 17:00,57,0,0
130,01/25/2020,Hunan,Mainland China,2020/01/25 17:00,43,0,0
131,01/25/2020,Beijing,Mainland China,2020/01/25 17:00,41,0,2
132,01/25/2020,Anhui,Mainland China,2020/01/25 17:00,39,0,0
133,01/25/2020,Shanghai,Mainland China,2020/01/25 17:00,33,0,1
134,01/25/2020,Henan,Mainland China,2020/01/25 17:00,32,0,0
135,01/25/2020,Sichuan,Mainland China,2020/01/25 17:00,28,0,0
136,01/25/2020,Shandong,Mainland China,2020/01/25 17:00,27,0,0
137,01/25/2020,Guangxi,Mainland China,2020/01/25 17:00,23,0,0
138,01/25/2020,Hainan,Mainland China,2020/01/25 17:00,19,0,0
139,01/25/2020,Jiangxi,Mainland China,2020/01/25 17:00,18,0,0
140,01/25/2020,Fujian,Mainland China,2020/01/25 17:00,18,0,0
141,01/25/2020,Jiangsu,Mainland China,2020/01/25 17:00,18,0,1
142,01/25/2020,Liaoning,Mainland China,2020/01/25 17:00,17,0,0
143,01/25/2020,Shaanxi,Mainland China,2020/01/25 17:00,15,0,0
144,01/25/2020,Yunnan,Mainland China,2020/01/25 17:00,11,0,0
145,01/25/2020,Tianjin,Mainland China,2020/01/25 17:00,10,0,0
146,01/25/2020,Heilongjiang,Mainland China,2020/01/25 17:00,9,1,0
147,01/25/2020,Hebei,Mainland China,2020/01/25 17:00,8,1,0
148,01/25/2020,Inner Mongolia,Mainland China,2020/01/25 17:00,7,0,0
149,01/25/2020,Shanxi,Mainland China,2020/01/25 17:00,6,0,0
150,01/25/2020,Hong Kong,Hong Kong,2020/01/25 17:00,5,0,0
151,01/25/2020,Guizhou,Mainland China,2020/01/25 17:00,4,0,0
152,01/25/2020,Jilin,Mainland China,2020/01/25 17:00,4,0,0
153,01/25/2020,Gansu,Mainland China,2020/01/25 17:00,4,0,0
154,01/25/2020,Ningxia,Mainland China,2020/01/25 17:00,3,0,0
155,01/25/2020,Taiwan,Taiwan,2020/01/25 17:00,3,0,0
156,01/25/2020,Xinjiang,Mainland China,2020/01/25 17:00,3,0,0
157,01/25/2020,Macau,Macau,2020/01/25 17:00,2,0,0
158,01/25/2020,Qinghai,Mainland China,2020/01/25 17:00,1,0,0
159,01/25/2020,Washington,US,2020/01/25 17:00,1,0,0
160,01/25/2020,Illinois,US,2020/01/25 17:00,1,0,0
161,01/25/2020,,Japan,2020/01/25 17:00,2,0,0
162,01/25/2020,,Thailand,2020/01/25 17:00,7,0,0
163,01/25/2020,,South Korea,2020/01/25 17:00,2,0,0
164,01/25/2020,,Singapore,2020/01/25 17:00,3,0,0
165,01/25/2020,,Vietnam,2020/01/25 17:00,2,0,0
166,01/25/2020,,France,2020/01/25 17:00,3,0,0
167,01/25/2020,,Australia,2020/01/25 17:00,4,0,0
168,01/25/2020,,Nepal,2020/01/25 17:00,1,0,0
169,01/25/2020,,Malaysia,2020/01/25 17:00,3,0,0
170,01/26/2020,Hubei,Mainland China,2020/01/26 16:00,1058,52,42
171,01/26/2020,Guangdong,Mainland China,2020/01/26 16:00,111,0,2
172,01/26/2020,Zhejiang,Mainland China,2020/01/26 16:00,104,0,1
173,01/26/2020,Henan,Mainland China,2020/01/26 16:00,83,1,0
174,01/26/2020,Chongqing,Mainland China,2020/01/26 16:00,75,0,0
175,01/26/2020,Hunan,Mainland China,2020/01/26 16:00,69,0,0
176,01/26/2020,Beijing,Mainland China,2020/01/26 16:00,68,0,2
177,01/26/2020,Anhui,Mainland China,2020/01/26 16:00,60,0,0
178,01/26/2020,Shandong,Mainland China,2020/01/26 16:00,46,0,0
179,01/26/2020,Sichuan,Mainland China,2020/01/26 16:00,44,0,0
180,01/26/2020,Shanghai,Mainland China,2020/01/26 16:00,40,1,1
181,01/26/2020,Guangxi,Mainland China,2020/01/26 16:00,36,0,0
182,01/26/2020,Jiangxi,Mainland China,2020/01/26 16:00,36,0,0
183,01/26/2020,Fujian,Mainland China,2020/01/26 16:00,35,0,0
184,01/26/2020,Jiangsu,Mainland China,2020/01/26 16:00,33,0,1
185,01/26/2020,Hainan,Mainland China,2020/01/26 16:00,22,0,0
186,01/26/2020,Shaanxi,Mainland China,2020/01/26 16:00,22,0,0
187,01/26/2020,Liaoning,Mainland China,2020/01/26 16:00,21,0,0
188,01/26/2020,Yunnan,Mainland China,2020/01/26 16:00,16,0,0
189,01/26/2020,Heilongjiang,Mainland China,2020/01/26 16:00,15,1,0
190,01/26/2020,Tianjin,Mainland China,2020/01/26 16:00,14,0,0
191,01/26/2020,Hebei,Mainland China,2020/01/26 16:00,13,1,0
192,01/26/2020,Shanxi,Mainland China,2020/01/26 16:00,9,0,0
193,01/26/2020,Hong Kong,Hong Kong,2020/01/26 16:00,8,0,0
194,01/26/2020,Inner Mongolia,Mainland China,2020/01/26 16:00,7,0,0
195,01/26/2020,Gansu,Mainland China,2020/01/26 16:00,7,0,0
196,01/26/2020,Guizhou,Mainland China,2020/01/26 16:00,5,0,0
197,01/26/2020,Macau,Macau,2020/01/26 16:00,5,0,0
198,01/26/2020,Ningxia,Mainland China,2020/01/26 16:00,4,0,0
199,01/26/2020,Jilin,Mainland China,2020/01/26 16:00,4,0,0
200,01/26/2020,Taiwan,Taiwan,2020/01/26 16:00,4,0,0
201,01/26/2020,Xinjiang,Mainland China,2020/01/26 16:00,4,0,0
